Proposal Title,Contributor(s),Prof. Affiliations,Verticals (max 3),Authority,Funding,Misc.,Agency/Exec. Office,Full Proposal,Supporting documents
"Fund Green Ribbon Schools Assistance Program at U.S. Dept. of Education, with grants for states
","Elizabeth Beardsley,James Elder","US Green Building Council, Campaign for Environmental Literacy, ex-GAO","Buildings & Affordable Housing,Equity & EJ,Infrastructure",New legislation,Funding,"Fed/State Partners. ,Potential Reconciliation","ED,EPA,NOAA","""Fund Green Ribbon Schools Assistance Program at U_S_ Dept_ of Education, with grants for states_docx.pdf (https://dl.airtable.com/.attachments/c58f9a79ef661b9e5e804046c8c314c5/38518e2c/FundGreenRibbonSchoolsAssistanceProgramatU_S_Dept_ofEducationwithgrantsforstates_docx.pdf)""",
Create Office of Healthy Green Schools at U.S. Dept. of Education ,Elizabeth Beardsley,"US Green Building Council, ex-GAO","Buildings & Affordable Housing,Infrastructure,Equity & EJ",Existing authority,No funding,"Fed/State Partners. ,Job Training","DOE,EPA,ED",Create Office of Healthy Green Schools at US_ Dept of Education_docx.pdf (https://dl.airtable.com/.attachments/7b19a9d4a3f5da24e8320fa9a293cff8/23b746a6/CreateOfficeofHealthyGreenSchoolsatUS_DeptofEducation_docx.pdf),
Decarbonizing Federal Buildings – Executive Order,Elizabeth Beardsley,"US Green Building Council, ex-GAO","Buildings & Affordable Housing,Energy,Infrastructure","Existing authority,Executive order",No funding,Resilience,"GSA,DOE,WH",Decarbonizing Federal Buildings – Executive Order_docx.pdf (https://dl.airtable.com/.attachments/7e25c270cfe4005e280ad6e95591fe27/2c53d404/DecarbonizingFederalBuildingsExecutiveOrder_docx.pdf),
Decarbonizing Federal Buildings – Federal Building Clean Jobs Act,Elizabeth Beardsley,"US Green Building Council, ex-GAO","Buildings & Affordable Housing,Energy,Infrastructure","Existing authority,New legislation",Funding,Resilience,"GSA,DOE",Decarbonizing Federal Buildings – “Federal Building Clean Jobs Act”_docx.pdf (https://dl.airtable.com/.attachments/adc19ee84f42588850e136fd913ff44d/3555c0d3/DecarbonizingFederalBuildingsFederalBuildingCleanJobsAct_docx.pdf),
Production Tax Credits to Jumpstart a US Clean Hydrogen Industry,Solomon Goldstein-Rose,"Author, ex-Massachusetts State Legislature","Energy,Auto & Transport,Manufacturing & Onshoring",New legislation,Funding,"Tax Credit,Stimulus,Potential Reconciliation",TREAS,Production Tax Credits to Jumpstart a US Clean Hydrogen Industry.docx.pdf (https://dl.airtable.com/.attachments/6c2cd6982bb2de5df0e751e4e18d9f43/d9ffe48f/ProductionTaxCreditstoJumpstartaUSCleanHydrogenIndustry.docx.pdf),
"A Just, Equitable, and Green Tennessee Valley Authority (TVA) for the 21st Century
","Stephen Smith,Maggie Shober,Chris Carnevale",Southern Alliance for Clean Energy,"Energy,Infrastructure,Equity & EJ","Executive order,New legislation",Fund no-fund option,,WH,TVA reform proposal from SACE v3.docx.pdf (https://dl.airtable.com/.attachments/df40306cc239feab3ca9cef249b5d103/e02edd1a/TVAreformproposalfromSACEv3.docx.pdf),SACE TVA proposal for Biden Admin.pdf (https://dl.airtable.com/.attachments/d841dd0c4cbac05c4fdf067b412c0444/d5941ebf/SACETVAproposalforBidenAdmin.pdf)
National Council on Workforce Development to Combine Existing Data & Tools for Interagency Collaboration,"""Greg P. Smestad, Ph.D."",""Noel Bakhtian, Ph.D.""","Clean Energy for Biden, Sol Ideas Technology Development, ex-OSTP, ex-EPA, ex-NASA, ex-DOE","Energy,Equity & EJ","Existing authority,New legislation",Fund no-fund option,Job Training,"DOE,HHS,DOL,USDA,DOC,EPA,WH",National Council on Workforce Development to Combine Existing Data & Tools for Interagency Collaboration_docx.pdf (https://dl.airtable.com/.attachments/51249034fd2a19babf1b635a888380c3/13df309c/NationalCouncilonWorkforceDevelopmenttoCombineExistingDataToolsforInteragencyCollaboration_docx.pdf),
Revenue-neutral National Low Carbon Fuels Standards: Supply-side Clean Transportation Policy Beyond “Electrify Everything”,"""Brentan Alexander, Ph.D."",""Matt Lucas, Ph.D.""",New Energy Risk,"Auto & Transport,Energy",New legislation,No funding,,"EPA,DOT",Revenue-neutral National Low Carbon Fuels Standards_ Supply-side Clean Transportation Policy Beyond “Electrify Everything”.docx.pdf (https://dl.airtable.com/.attachments/f5be9dcfd07d50ee1ece91862575f9a4/838c9b84/Revenue-neutralNationalLowCarbonFuelsStandards_Supply-sideCleanTransportationPolicyBeyondElectrifyEverything.docx.pdf),
Ask FERC or other Federal Oversight Commissions to validate guidelines to update the Return on Equity (ROE) target setting process,Albert Lin,Pearl Street Station Finance Lab,Energy,"Existing authority,New regulations",No funding,,"FERC,DOE",Ask FERC or other Federal Oversight Commissions to validate guidelines to update the Return on Equity (ROE) target setting process_docx.pdf (https://dl.airtable.com/.attachments/3261329c00ad02d1ed13835f139f5f37/9a4a3098/AskFERCorotherFederalOversightCommissionstovalidateguidelinestoupdatetheReturnonEquityROEtargetsettingprocess_docx.pdf),
A Building Energy Performance Standard for Federal Buildings,"""Veronique Bugnion, Ph.D."",Carolyn Sarno-Goldthwaite","ClearlyEnergy, Johns Hopkins University, Clean Energy for Biden
",Buildings & Affordable Housing,Existing authority,No funding,,"DOE,GSA",A Building Energy Performance Standard for Federal Buildings_docx.pdf (https://dl.airtable.com/.attachments/944717682b58b49565c21fa2068b0610/17351b3d/ABuildingEnergyPerformanceStandardforFederalBuildings_docx.pdf),
DOE Pilot Program for Coal to Small Modular Reactor (SMR) in Underserved Communities,MC Hammond,Clean Energy for Biden,"Energy,Innovation,Equity & EJ",Existing authority,Funding,Job Training,DOE,DOE Pilot Program for Coal to Small Modular Reactor (SMR) in Underserved Communities.docx.pdf (https://dl.airtable.com/.attachments/7e029d40dcf5b284e5e32ed2bffda5ed/5ef23fe3/DOEPilotProgramforCoaltoSmallModularReactorSMRinUnderservedCommunities.docx.pdf),
"DOE Grants to support the hiring of industrial plant “energy managers” to increase energy efficiency
","""Lowell Ungar, Ph.D.""",American Council for an Energy-Efficient Economy,"Manufacturing & Onshoring,Energy",New legislation,Funding,"Stimulus,Potential Reconciliation",DOE,DOE Grants to support the hiring of industrial plant “energy managers” to increase energy efficiency.docx.pdf (https://dl.airtable.com/.attachments/90bf8893d087fac0e98616145bd583e7/266f354d/DOEGrantstosupportthehiringofindustrialplantenergymanagerstoincreaseenergyefficiency.docx.pdf),
DOE Small Business Energy Efficiency Grant Program,"""Lowell Ungar, Ph.D."",Jason Reott","American Council for an Energy-Efficient Economy, Alliance to Save Energy","Buildings & Affordable Housing,Energy,Equity & EJ",New legislation,Funding,"Stimulus,Potential Reconciliation","DOE,USDA,SBA","DOE Small Business Energy Efficiency Grant Program_docx.pdf (https://dl.airtable.com/.attachments/49df1127b47dc39f39aa9478f816b368/bd2c5951/DOESmallBusinessEnergyEfficiencyGrantProgram_docx.pdf),Small Business Energy Efficiency Grant (SBEEG) Program.pdf (https://dl.airtable.com/.attachments/1de446b3d6237b469840e18ca2b3f647/c5acbf0f/SmallBusinessEnergyEfficiencyGrantSBEEGProgram.pdf)",
Federal Performance Contracting Challenge: Set Performance Contracting Goal such as the Performance Contracting Challenge (PCC) during the Obama Administration,"Jennifer Schafer,Kate Lynch",Federal Performance Contracting Coalition,"Energy,Infrastructure,Buildings & Affordable Housing",Existing authority,Fund no-fund option,Procurement,"DOE,OMB,GSA", Federal Performance Contracting Challenge - Set Performance Contracting Goal such as the Performance Contracting Challenge (PCC) during the Obama Administration.pdf (https://dl.airtable.com/.attachments/bceeacda9865fdad47ae1b3d8d9d7189/4f441489/FederalPerformanceContractingChallenge-SetPerformanceContractingGoalsuchasthePerformanceContractingChallengePCCduringtheObamaAdministration.pdf),
"Solar, Weatherization, and Electrification Package (SWEP) for Existing U.S. Homes","""Charles F. Kutscher, Ph.D., P.E.""",University of Colorado-Boulder Renewable and Sustainable Energy Institute,"Buildings & Affordable Housing,Energy",New legislation,Funding,Potential Reconciliation,"DOE,HUD","""Solar, Weatherization, and Electrification Package (SWEP) for Existing U_S_ Homes_docx.pdf (https://dl.airtable.com/.attachments/10aeb52069c7f341289a3df385426710/5cc58c79/SolarWeatherizationandElectrificationPackageSWEPforExistingU_S_Homes_docx.pdf)""",SWEP Proposal Response-Kutscher-12-12-2020_docx.pdf (https://dl.airtable.com/.attachments/9b96370d23bc0ceab9729117fd0bda30/9ac83e66/SWEPProposalResponse-Kutscher-12-12-2020_docx.pdf)
Access to Customer Data Held by Utilities For Accelerating Power Sector Decarbonization,"Robert King,Michael Murray","Clean Energy for Biden, Good Company Associates, Mission:data Coalition","Buildings & Affordable Housing,Energy","Existing authority,New legislation",Funding,,"DOE,NIST",Access to Customer Data Held by Utilities For Accelerating Power Sector Decarbonization_docx.pdf (https://dl.airtable.com/.attachments/7ab5445b31f79b1fc3fbc71954ab6dd9/ef0f47da/AccesstoCustomerDataHeldbyUtilitiesForAcceleratingPowerSectorDecarbonization_docx.pdf),Energy Water Data Exchange Initiative_  External Data-Sharing Proposal_docx.pdf (https://dl.airtable.com/.attachments/2207298fc3a1c3167ee189776272dc3d/ca8575d0/EnergyWaterDataExchangeInitiative_ExternalData-SharingProposal_docx.pdf)
"Financial Incentives to Spur Deployment of Direct Air Capture, Carbon-to-Value & Negative Emissions Projects
","Abigail Regitsky,Preeti Kanther,Mike Weiner,Nicholas Eisenberger ","Clean Energy for Biden, Pure Energy Partners","Energy,Infrastructure,Innovation",New legislation,Fund no-fund option,"Tax Credit,Potential Reconciliation","TREAS,EPA,DOE","""Financial Incentives to Spur Deployment of Direct Air Capture, Carbon-to-Value & Negative Emissions Projects.docx.pdf (https://dl.airtable.com/.attachments/e15360d691d81a3a38fdbb037eaf6ae4/11ab00e0/FinancialIncentivestoSpurDeploymentofDirectAirCaptureCarbon-to-ValueNegativeEmissionsProjects.docx.pdf)""",
Weatherize Low-and Moderate-Income Multifamily Housing,"""Lowell Ungar, Ph.D.""",American Council for an Energy-Efficient Economy,Buildings & Affordable Housing,New legislation,Funding,Potential Reconciliation,HUD,Weatherize Low-and Moderate-Income Multifamily Housing_docx.pdf (https://dl.airtable.com/.attachments/3cdb31e7e0cb05e86f122abc1d73920c/24a07059/WeatherizeLow-andModerate-IncomeMultifamilyHousing_docx.pdf),
Additional Funding for Weatherization Assistance Program ,"""Lowell Ungar, Ph.D.""",American Council for an Energy-Efficient Economy,Buildings & Affordable Housing,New legislation,Funding,"Stimulus,Potential Reconciliation",DOE,Additional Funding for Weatherization Assistance Program _docx.pdf (https://dl.airtable.com/.attachments/e90d28aaa5ad678151c1c94c111de886/2d63e8bb/AdditionalFundingforWeatherizationAssistanceProgram_docx.pdf),
Enactment of the Energy Efficiency Acceleration Act of 2021 (the “EEAA”): Mandate Energy efficiency and clean energy improvements in all buildings that are subject to the Americans with Disabilities Act of 1990 ,Steven Berkenfeld,"Ecotopia Consulting, Brightcore Energy",Buildings & Affordable Housing,New legislation,No funding,,"DOE,DOC",  Enactment of the “Energy Efficiency Acceleration Act of 2021” (the “EEAA”) _docx.pdf (https://dl.airtable.com/.attachments/d4f428debe333515c445a1d7b9280ed0/034a7d8e/EnactmentoftheEnergyEfficiencyAccelerationActof2021theEEAA_docx.pdf),
Doubling Funding for the ENERGY STAR Program ,"Ben Evans,Joseph Womble",Alliance to Save Energy,"Energy,Manufacturing & Onshoring,Innovation","Existing authority,New legislation",Funding,Pub/Priv Partners.,"DOE,EPA",Doubling the ENERGY STAR Program .pdf (https://dl.airtable.com/.attachments/c02cfa7315444829abc9bf4c24ad1fd4/994e62c3/DoublingtheENERGYSTARProgram.pdf),
"Federally Assisted Housing and Finance Energy Efficiency Criteria
","""Lowell Ungar, Ph.D.""",American Council for an Energy-Efficient Economy,"Buildings & Affordable Housing,Equity & EJ",New regulations,No funding,,"FHFA,USDA,VA,HUD",Federally Assisted Housing and Finance Energy Efficiency Criteria.docx.pdf (https://dl.airtable.com/.attachments/082faa05da1e315cdec11d4a9c09242a/69569f14/FederallyAssistedHousingandFinanceEnergyEfficiencyCriteria.docx.pdf),
Expand Investment Tax Credit to High Efficiency HVAC Equipment to Capture Significant Job Creation and Greenhouse Gas Emissions Reductions,"Brian J. McCarter,Anthony J. Buonicore",Sustainable Real Estate Solutions,Buildings & Affordable Housing,New legislation,Funding,"Tax Credit,Potential Reconciliation",TREAS,CLEEN_Proposal_SRS_02-15-21.pdf (https://dl.airtable.com/.attachments/ad3574dc5809190e53f47e192249af3e/2f9e7a6b/CLEEN_Proposal_SRS_02-15-21.pdf),
Spur US Medium and Heavy-Duty EV Manufacturing via Point-of-Sale Incentive,Kyle Winslow,"CALSTART, Clean Energy for Biden, ex-DOE",Auto & Transport,New legislation,Funding,Potential Reconciliation,"DOT,DOE,TREAS",CLEEN Project MHD Point-of-Sale Final 12-31.docx.pdf (https://dl.airtable.com/.attachments/dd496db7b2a1635502b80456f99c887a/72404965/CLEENProjectMHDPoint-of-SaleFinal12-31.docx.pdf),
"Nationwide Carbon Farming Initiative: Leveraging existing USDA Programs (CSP and EQIP) to incentivize the adoption and implementation of on-farm soil health plans
",Albert Straus,Straus Family Creamery,"Conservation & Ag.,Food Systems",Existing authority,No funding,,USDA,Nationwide Carbon Farming Initiative_ Leveraging the existing USDA Conservation Stewardship Program (CSP) and Environment Quality Incentives Program (EQIP) to incentivize the adoption and implementation of on-farm soil health plans..doc (1).pdf (https://dl.airtable.com/.attachments/f4b3a2b382b0bd40b451fcf37c1d523f/ecc17d2b/NationwideCarbonFarmingInitiative_LeveragingtheexistingUSDAConservationStewardshipProgramCSPandEnvironmentQualityIncentivesProgramEQIPtoincentivizetheadoptionandimplementationofon-farmsoilhealthplans..doc1.pdf),
"American Energy Resiliency Moonshot: Modernizing our Nation’s 70,000+ Disaster Shelters",Andy Burr,"ecountabl, ex-DOE","Energy,Infrastructure,Buildings & Affordable Housing","Existing authority,New legislation",Fund no-fund option,"Pub/Priv Partners.,Resilience","DOE,FEMA,DHS","""American Energy Resiliency Moonshot_ Modernizing our Nation’s 70,000+ Disaster Shelters.docx.pdf (https://dl.airtable.com/.attachments/e18d2f1da773ae0137128910971acbf0/69e05476/AmericanEnergyResiliencyMoonshot_ModernizingourNations70000DisasterShelters.docx.pdf)""",
Amend and Enact the SHELTER Act to Establish an Investment Tax Credit for Energy Efficiency and Resilience Against Extreme Weather,Colin Bishopp,"PACENation, ex-DOE","Energy,Buildings & Affordable Housing,Equity & EJ",New legislation,No funding,"Tax Credit,Potential Reconciliation,Resilience",TREAS,Amend and Enact the SHELTER Act to Establish an Investment Tax Credit for Resilience Against Extreme Weather.docx.pdf (https://dl.airtable.com/.attachments/9c3d074deed0d7b938d705a9d74638c2/30d1f9b8/AmendandEnacttheSHELTERActtoEstablishanInvestmentTaxCreditforResilienceAgainstExtremeWeather.docx.pdf),Support Letter_Amend and Enact the SHELTER Act_01.25.2021.pdf (https://dl.airtable.com/.attachments/8fdb1df610457ce963912647e4ccd70c/bdc17302/SupportLetter_AmendandEnacttheSHELTERAct_01.25.2021.pdf)
"DOE Advanced Manufacturing Office catalyzes investment in agile and resilient domestic manufacturing supply chains
","""Lowell Ungar, Ph.D.""",American Council for an Energy-Efficient Economy,"Manufacturing & Onshoring,Innovation",New legislation,Funding,"Stimulus,Potential Reconciliation",DOE,DOE Advanced Manufacturing Office catalyzes investment in agile and resilient domestic manufacturing supply chains.docx.pdf (https://dl.airtable.com/.attachments/b0d951c358acb5fa2cf9292f741b91e2/f957fbe5/DOEAdvancedManufacturingOfficecatalyzesinvestmentinagileandresilientdomesticmanufacturingsupplychains.docx.pdf),
"Revive and expand DOE Better Plants Program: energy audits for large industrial plants
","""Lowell Ungar, Ph.D.""",American Council for an Energy-Efficient Economy,"Energy,Manufacturing & Onshoring",New legislation,Funding,"Stimulus,Potential Reconciliation",DOE,Revive and expand DOE Better Plants Program_ energy audits for large industrial plants.docx.pdf (https://dl.airtable.com/.attachments/aed3b29427865646c627faff3dab7128/a87ba1ee/ReviveandexpandDOEBetterPlantsProgram_energyauditsforlargeindustrialplants.docx.pdf),
"Expand competitive wholesale market access to all US states to unlock distributed energy resources and demand response market access 
","""Claire Woo, Ph.D."",Dana Guernsey,Nick Scherer","Clean Energy for Biden, Blueprint Power (submitting in personal capacity), Voltus",Energy,"Existing authority,New legislation",No funding,,FERC,Expand competitive wholesale market access to all US states to unlock distributed energy resources and demand response market access .docx.pdf (https://dl.airtable.com/.attachments/24957cf2b09437aafb8af7a92d2e64af/9c0471ec/ExpandcompetitivewholesalemarketaccesstoallUSstatestounlockdistributedenergyresourcesanddemandresponsemarketaccess.docx.pdf),
Urban Smart Surfaces: require or strongly preference smart surfaces as the design standard for future federally funded infrastructure investments,"Greg Kats,Jad Daley,Georges Benjamin,Cooper Martin,Vivian Loftness,Julie T. Katzman,Brendan Shane,Tracy Wolstencraft,Frank Loy","Smart Surfaces Coalition, American Forests, American Public Health Association, National League of Cities, Trust for Public Land, ex-DOS, ex-DOE","Infrastructure,Buildings & Affordable Housing","New legislation,New regulations,Executive order",No funding,Procurement,"GSA,DOE,HUD,DOD,DOT,USDA,WH","""Incorporating Smart Surfaces into Federal Funded Infrastructure to Enhance Equity, Climate and Resilience.pdf (https://dl.airtable.com/.attachments/52771c53da185ff9d1b1a4a22675f866/083a875b/IncorporatingSmartSurfacesintoFederalFundedInfrastructuretoEnhanceEquityClimateandResilience.pdf)""",
Revitalizing America’s Decaying Infrastructure and Stimulating the Economy Through an Incentive Infrastructure Program,"Jigar Shah,Jay Tannon,William Reicher","Generate Capital, American Infrastructure Holdings",Infrastructure,New legislation,Funding,"Pub/Priv Partners.,Potential Reconciliation","TREAS,DOT",Revitalizing America’s Decaying Infrastructure and Stimulating the Economy Through an Incentive Infrastructure  Program.docx.pdf (https://dl.airtable.com/.attachments/5e47fd2490465b30e1b4499413874bb1/f3a25b96/RevitalizingAmericasDecayingInfrastructureandStimulatingtheEconomyThroughanIncentiveInfrastructureProgram.docx.pdf),
"Establish a coordinated, cross-agency federal RD&D carbon removal strategy with private-sector engagement to spur development of Direct Air Capture, Carbon-to-Value, and Negative Emissions Projects.","Preeti Kanther,Abigail Regitsky,Mike Weiner,Nicholas Eisenberger ","Clean Energy for Biden, Pure Energy Partners",Innovation,"New legislation,Existing authority",Fund no-fund option,"Pub/Priv Partners.,Potential Reconciliation","DOE,OMB,OSTP",CLEEN Project - Cross-agency federal RD&D strategy for DAC.docx.pdf (https://dl.airtable.com/.attachments/cf58e171bd014eaebeb3484158f6f7e7/6d4ad5c5/CLEENProject-Cross-agencyfederalRDDstrategyforDAC.docx.pdf),
Collaborative Experiences to Accelerate Resilient Systems (CEARS): A public-private partnership to deploy and share learnings from projects to improve electric system resilience,"Julia Hamm,Courtney V. Galatioto",Smart Electric Power Alliance,"Energy,Buildings & Affordable Housing,Infrastructure",New legislation,Funding,"Stimulus,Pub/Priv Partners.,Resilience",DOE,CLEEN program proposal 2020 - CEARS by Smart Electric Power Alliance Revised 1.4.docx.pdf (https://dl.airtable.com/.attachments/6bd17ad76c64a2230bdf5f511bbbc153/295cfd2d/CLEENprogramproposal2020-CEARSbySmartElectricPowerAllianceRevised1.4.docx.pdf),ARDC program proposal 2021.docx.pdf (https://dl.airtable.com/.attachments/2b99b216fc2af64b859a64fd79053045/7559b33e/ARDCprogramproposal2021.docx.pdf)
"Defending US National Security from Russia, with Guaranteed Export Markets for Made-in-America, Clean Energy Technology.
",Jonathan Morgenstein,"National Renewable Energy Lab, US Marine Corps",Energy,New legislation,Funding,International Partners.,"DOS,DOD,DOC,DOL,USAID","""Defending US National Security from Russia, with Guaranteed Export Markets for Made-in-America, Clean Energy Technology__docx.pdf (https://dl.airtable.com/.attachments/2f21e03d487c183824f1b1f193151a48/e57f5082/DefendingUSNationalSecurityfromRussiawithGuaranteedExportMarketsforMade-in-AmericaCleanEnergyTechnology__docx.pdf)""",
"White House-led taskforce for carbon-neutral heavy industry
","""Manfred Fischedick, Ph.D.""","Wuppertal Institute for Climate, Energy, and Environment","Manufacturing & Onshoring,Innovation,Heavy Industry",Existing authority,No funding,"Pub/Priv Partners.,Taskforce",WH,White House-led taskforce for carbon-neutral heavy industry.docx.pdf (https://dl.airtable.com/.attachments/827fce717d190fcd67308a0788b3e7bc/68a55cbe/WhiteHouse-ledtaskforceforcarbon-neutralheavyindustry.docx.pdf),
"Energy Efficiency Small Business Training Support Initiative
","Bracken Hendricks,Kara Saul Rinaldi","AnnDyl Policy Group, Urban Ingenuity, Evergreen Action","Buildings & Affordable Housing,Equity & EJ",New legislation,Funding,"Job Training,Potential Reconciliation","DOE,ED,DOL",Energy Efficiency Small Business Training Support Initiative.docx.pdf (https://dl.airtable.com/.attachments/747df93b8cf7ed36dfbd58ea4335c8dc/9198b1fd/EnergyEfficiencySmallBusinessTrainingSupportInitiative.docx.pdf),
"Amend Dig Once legislation to include the opportunity to add HVDC transmission 
",Ben Watson,NYSERDA,"Infrastructure,Energy,Broadband/Telecom",New legislation,No funding,,"DOT,FERC",Amend Dig Once legislation to include the opportunity to add HVDC transmission .docx.pdf (https://dl.airtable.com/.attachments/b719609ec7dfafcc45a2c15a6172834d/2dba6235/AmendDigOncelegislationtoincludetheopportunitytoaddHVDCtransmission.docx.pdf),
"Transnational Decarbonization Club in the Steel Industry
",Lukas Hermwille,"Wuppertal Institute for Climate, Energy, and Environment","Manufacturing & Onshoring,Innovation",Existing authority,Fund no-fund option,"Pub/Priv Partners.,International Partners.",WH,Transnational Decarbonization Club in the Steel Industry.docx.pdf (https://dl.airtable.com/.attachments/21b03952be19dd6eee4283461be25f86/dd205391/TransnationalDecarbonizationClubintheSteelIndustry.docx.pdf),
"Public-Private Partnership to Encourage Widespread Adoption of a 25% by 2030 Food-Related Emissions Reduction Target
",Gerard Pozzi,World Resources Institute,Food Systems,"Existing authority,Executive order",No funding,"Pub/Priv Partners.,WH Press","GSA,WH",Public-Private Partnership to Encourage Widespread Adoption of a 25% by 2030 Food-Related Emissions Reduction Target.docx.pdf (https://dl.airtable.com/.attachments/eaf77d6161149bf527de9cbe28310b83/30bd46c6/Public-PrivatePartnershiptoEncourageWidespreadAdoptionofa25by2030Food-RelatedEmissionsReductionTarget.docx.pdf),
"Reducing the amount of produce wasted by directing federal funding towards purchasing and subsiding donation of fresh produce
",Dana Gunders,ReFED,"Food Systems,Conservation & Ag.,Circular Economy  ","New legislation,Executive order",Funding,Procurement,"GSA,DOD,USDA,WH",Reducing the amount of produce wasted by directing federal funding towards purchasing and subsiding donation of fresh produce.docx.pdf (https://dl.airtable.com/.attachments/dfb55a30a786be85902dfa3666044170/096e9506/Reducingtheamountofproducewastedbydirectingfederalfundingtowardspurchasingandsubsidingdonationoffreshproduce.docx.pdf),
Begin Transition to a Plant-Based-Heavy National School Lunch Program with Nationwide Plant-Based Mondays,"Chris Kerr,Kirsti Gholson",Unovis Capital Management,Food Systems,Executive order,No funding,Procurement,"USDA,WH",Begin Transition to a Plant-Based-Heavy National School Lunch Program with a Nationwide Meatless Monday Program.docx.pdf (https://dl.airtable.com/.attachments/923224e8ed92d7f2f4fe764ea7b58432/cc29dd98/BeginTransitiontoaPlant-Based-HeavyNationalSchoolLunchProgramwithaNationwideMeatlessMondayProgram.docx.pdf),
"Launch a National Energy Innovation Mission and Triple Federal Funding for Clean Energy Innovation to Fight Climate Change and Support A Million Long-Term Jobs
","""Varun Sivaram, Ph.D.""",Center on Global Energy Policy,"Energy,Innovation",New legislation,Funding,"Stimulus,Potential Reconciliation","DOE,DOD,NIST,NASA",Energizing America CLEEN Project Sivaram et al..pdf (https://dl.airtable.com/.attachments/eed76d1bdb5c474926499f565fc45277/8e0286cc/EnergizingAmericaCLEENProjectSivarametal..pdf),
Modify federal funding regulations to enable comprehensive EE/RE projects including community solar,Anna Lising,"Clean Energy for Biden
","Energy,Equity & EJ",New regulations,Fund no-fund option,,"DOE,HUD,USDA,HHS",Modify federal funding regulations to enable comprehensive EE_RE projects including community solar.docx.pdf (https://dl.airtable.com/.attachments/97c2d51dcbaca0e35d6e14e8e602ad40/2ee63ca2/ModifyfederalfundingregulationstoenablecomprehensiveEE_REprojectsincludingcommunitysolar.docx.pdf),
"Create an interagency task force charged with creating one-step enrollment of all income-qualified housing, food, and energy assistance
",Anna Lising,"Clean Energy for Biden
","Energy,Equity & EJ,Buildings & Affordable Housing","Existing authority,New legislation",No funding,Taskforce,"DOE,HUD,USDA,HHS,WH",CLEEN Project_Lising-6-One-Step Enrollment for Assistance Programs v3.docx.pdf (https://dl.airtable.com/.attachments/8f90809b2ce7387efa67cee980151151/536fc989/CLEENProject_Lising-6-One-StepEnrollmentforAssistanceProgramsv3.docx.pdf),
"Ease Income Verification and Create National Subscriber Standards to Facilitate Low-Income Community Solar Participation
","Anna Lising,Kacie Peters","Clean Energy for Biden, Pivot Energy","Energy,Equity & EJ","Existing authority,New regulations",No funding,Taskforce,"DOE,HUD,HHS,USDA,WH",CLEEN Project_Lising-3-Revise community solar requirements v3.pdf (https://dl.airtable.com/.attachments/535a84ad0a486e2cbe8e6081c022c80c/a9ab722c/CLEENProject_Lising-3-Revisecommunitysolarrequirementsv3.pdf),
"Create an on-bill financing model and incentivize utilities to finance clean energy projects in
frontline communities","Anna Lising,Krystal Laymon","Clean Energy for Biden, FEMA, ex-DOE","Energy,Buildings & Affordable Housing,Equity & EJ",Existing authority,No funding,Taskforce,"DOE,HUD,HHS,USDA,WH",Ease Income Verification and Create National Subscriber Standards to Facilitate Low-Income Community Solar Participation.docx.pdf (https://dl.airtable.com/.attachments/95f5a7cbb46af2233ef99f9d2b9459a5/3cd31fda/EaseIncomeVerificationandCreateNationalSubscriberStandardstoFacilitateLow-IncomeCommunitySolarParticipation.docx.pdf),
"DOE grants for climate resiliency projects in frontline communities
","Anna Lising,""Claire Woo, Ph.D.""","Clean Energy for Biden, Blueprint Power (submitting in personal capacity)","Energy,Buildings & Affordable Housing,Equity & EJ",New legislation,Funding,"Potential Reconciliation,Resilience",DOE,DOE grants for climate resiliency projects in frontline communities.docx.pdf (https://dl.airtable.com/.attachments/31a712d8b5367c68fd2f28974791393e/5d0eeaa7/DOEgrantsforclimateresiliencyprojectsinfrontlinecommunities.docx.pdf),
"Modify HUD regulations to increase EE & RE investments in public housing
","Anna Lising,Kaylene Hung",Clean Energy for Biden,"Energy,Equity & EJ,Buildings & Affordable Housing","New regulations,Existing authority",No funding,,HUD,Modify HUD regulations to increase EE & RE investments in public housing.docx.pdf (https://dl.airtable.com/.attachments/845e37fbbaa6931f4552b5e2d3c93a72/ff368d06/ModifyHUDregulationstoincreaseEEREinvestmentsinpublichousing.docx.pdf),
"Fast-track FDA Regulatory Approval of Natural Solution to Cattle Emissions
","Albert Straus,Joan King Salwen","Straus Family Creamery, Blue Ocean Barns
","Food Systems,Conservation & Ag.",Existing authority,No funding,,HHS,Fast-track FDA Regulatory Approval of Natural Solution to Cattle Emissions.pdf (https://dl.airtable.com/.attachments/cda1487da12ceb9023de961b2cae4ac2/70f34860/Fast-trackFDARegulatoryApprovalofNaturalSolutiontoCattleEmissions.pdf),
"Ultra-Low Emission Cattle: Enabling Economic Growth through a Carbon-neutral Livestock Industry
","Albert Straus,Joan King Salwen","Straus Family Creamery, Blue Ocean Barns
","Food Systems,Conservation & Ag.","Existing authority,New regulations,New legislation",Fund no-fund option,,"HHS,USDA,EPA,GSA",Ultra-Low Emission Cattle- Enabling Economic Growth through a Carbon-neutral Livestock Industry.docx.pdf (https://dl.airtable.com/.attachments/f78c8873a272c26588278e60e94d9e30/1850277d/Ultra-LowEmissionCattle-EnablingEconomicGrowththroughaCarbon-neutralLivestockIndustry.docx.pdf),
